Nombre,JJ,JG,JE,JP,G,A,ELO
Roly,9,6,0,3,5,1,0.41
Cadiz,,,,0,,,#¡DIV/0!
Abelito,7,3,0,4,3,1,0.28
Luis Ernesto,8,4,,4,4,,0.30
Robin,8,4,,4,,2,0.11
Charly,7,5,,2,1,1,0.22
Alexis,,,,0,,,#¡DIV/0!
Amado,10,6,,4,1,,0.13
Zurdo,9,6,,3,2,,0.21
Omar,,,,0,,,#¡DIV/0!
Juanma,7,2,,5,,1,0.02
Patricio,6,2,,4,,,0.00
Abelito's cousin,6,2,,4,2,,0.17
Rojo,,,,0,,,#¡DIV/0!
Orios,,,,0,,,#¡DIV/0!
Regueira,,,,0,,,#¡DIV/0!
Ramsés,,,,0,,,#¡DIV/0!
Dago,9,6,,3,3,4,0.38
Alexi's brother,,,,0,,,#¡DIV/0!
Ramsés (II),,,,0,,,#¡DIV/0!
Leo,,,,0,,,#¡DIV/0!
Chino,,,,0,,,#¡DIV/0!
